CompanyName,Symbol,Sector,CompanyId,SecurityId
Basic Energy Corporation,BSC,Industrial,60,188
Chelsea Logistics and Infrastructure Holdings Corp.,C,Services,669,636
Concrete Aggregates Corporation,CA,Industrial,213,361
"Central Azucarera de Tarlac, Inc.",CAT,Industrial,183,366
China Banking Corporation,CBC,Financials,184,104
Cityland Development Corporation,CDC,Property,39,297
"Cebu Air, Inc.",CEB,Services,624,560
"Crown Equities, Inc.",CEI,Property,186,191
Centro Escolar University,CEU,Services,223,291
"Cemex Holdings Philippines, Inc.",CHP,Industrial,662,625
Concepcion Industrial Corporation,CIC,Industrial,648,591
"Cebu Landmasters, Inc.",CLI,Property,668,635
"Century Pacific Food, Inc.",CNPF,Industrial,652,597
"Converge Information and Communications Technology Solutions, Inc.",CNVRG,Services,680,656
Coal Asia Holdings Incorporated,COAL,Mining and Oil,637,580
"COL Financial Group, Inc.",COL,Financials,601,522
"Cosco Capital, Inc.",COSCO,Holding Firms,50,178
"Century Properties Group, Inc.",CPG,Property,189,219
Century Peak Holdings Corporation,CPM,Mining and Oil,621,549
Citicore Renewable Energy Corporation,CREC,Industrial,703,710
Citicore Energy REIT Corp.,CREIT,Property,691,686
Crown Asia Chemicals Corporation,CROWN,Industrial,657,611
"Citystate Savings Bank, Inc.",CSB,Financials,228,457
"CTS Global Equity Group, Inc.",CTS,"Small, Medium & Emerging Board",693,688
Cyber Bay Corporation,CYBR,Property,67,295
DoubleDragon Corporation,DD,Property,651,596
"DDMP REIT, Inc.",DDMPR,Property,681,664
Del Monte Pacific Limited,DELM,Industrial,642,585
"DFNN, Inc.",DFNN,Services,187,125
"Dominion Holdings, Inc.",DHI,Financials,31,121
DITO CME Holdings Corp.,DITO,Services,36,324
"Dizon Copper-Silver Mines, Inc.",DIZ,Mining and Oil,68,323
"DMCI Holdings, Inc.",DMC,Holding Firms,188,192
"D.M. Wenceslao & Associates, Incorporated",DMW,Property,671,641
Philab Holdings Corp.,DNA,"Small, Medium & Emerging Board",620,548
"D&L Industries, Inc.",DNL,Industrial,639,582
Discovery World Corporation,DWC,Services,647,590
"EasyCall Communications Philippines, Inc.",ECP,Services,70,126
East Coast Vulcan Mining Corporation,ECVC,Industrial,46,346
EEI Corporation,EEI,Industrial,71,148
"IP E-Game Ventures, Inc.",EG,Services,623,552
"Empire East Land Holdings, Inc.",ELI,Property,190,300
Emperador Inc.,EMI,Industrial,632,571
ENEX Energy Corp.,ENEX,Mining and Oil,653,599
"Euro-Med Laboratories Phil., Inc.",EURO,Industrial,219,236
"Ever-Gotesco Resources and Holdings, Inc.",EVER,Property,191,193
East West Banking Corporation,EW,Financials,634,573
First Abacus Financial Holdings Corporation,FAF,Financials,81,118
"San Miguel Food and Beverage, Inc.",FB,Industrial,151,161
"Figaro Culinary Group, Inc.",FCG,Industrial,689,684
Filinvest Development Corporation,FDC,Holding Firms,75,199
"Ferronoux Holdings, Inc.",FERRO,Financials,643,586
"Far Eastern University, Incorporated",FEU,Services,25,292
"Filipino Fund, Inc.",FFI,Financials,196,117
First Gen Corporation,FGEN,Industrial,600,521
Filinvest REIT Corp.,FILRT,Property,683,668
F & J Prince Holdings Corporation,FJP,Holding Firms,225,196
"Filinvest Land, Inc.",FLI,Property,226,302
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,ETF,649,592
"Global Ferronickel Holdings, Inc.",FNI,Mining and Oil,224,190
"Alliance Select Foods International, Inc.",FOOD,Industrial,602,524
First Philippine Holdings Corporation,FPH,Industrial,197,197
"Forum Pacific, Inc.",FPI,Holding Firms,220,200
"Fruitas Holdings, Inc.",FRUIT,Industrial,676,650
Filsyn Corporation,FYN,Industrial,80,372
"GEOGRACE Resources Philippines, Inc.",GEO,Mining and Oil,198,201
"Global-Estate Resorts, Inc.",GERI,Property,193,307
"Globe Telecom, Inc.",GLO,Services,69,127
"GMA Network, Inc.",GMA7,Services,610,533
"GMA Holdings, Inc.",GMAP,Services,611,534
Grand Plaza Hotel Corporation,GPH,Services,221,255
Greenergy Holdings Incorporated,GREEN,Industrial,132,243
"Ginebra San Miguel, Inc.",GSMI,Industrial,94,160
"GT Capital Holdings, Inc.",GTCAP,Holding Firms,633,572
"House of Investments, Inc.",HI,Holding Firms,82,203
AllHome Corp.,HOME,Services,674,647
"8990 Holdings, Inc.",HOUSE,Property,626,563
"Haus Talk, Inc.",HTI,"Small, Medium & Emerging Board",690,685
"Golden MV Holdings, Inc.",HVN,Property,661,624
"I-Remit, Inc.",I,Financials,613,538
"International Container Terminal Services, Inc.",ICT,Services,83,142
Italpinas Development Corporation,IDC,"Small, Medium & Emerging Board",660,617
